question_id,group_id,query_type,arm,gold_answer,predicted_answer,correct,format_valid,api_ok,status,truncated,prompt_tokens,completion_tokens,total_tokens,latency_seconds
15182,model:2216,ate,ZERO,yes,yes,1,1,1,completed,0,240.0,1271.0,1511.0,80.04013099335134
8076,model:4590,ett,ZERO,no,no,1,1,1,completed,0,190.0,2400.0,2590.0,150.7455914951861
29995,model:3589,det-counterfactual,ZERO,no,no,1,1,1,completed,0,189.0,2679.0,2868.0,167.36012860387564
6084,model:4140,nie,ZERO,no,no,1,1,1,completed,0,202.0,1578.0,1780.0,99.02054683677852
30561,model:3730,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,193.0,2213.0,2406.0,137.92449828982353
6051,model:4134,ett,ZERO,yes,no,0,1,1,completed,0,206.0,1539.0,1745.0,95.6549774557352
20444,model:3443,det-counterfactual,ZERO,no,yes,0,1,1,completed,0,192.0,3804.0,3996.0,237.02042399346828
5283,model:3953,nie,ZERO,no,yes,0,1,1,completed,0,186.0,1889.0,2075.0,117.6040505208075
21083,model:2285,nie,ZERO,yes,yes,1,1,1,completed,0,377.0,3609.0,3986.0,226.0881632361561
5820,model:4084,nde,ZERO,no,,0,0,1,completed,0,296.0,1424.0,1720.0,89.79465347528458
12078,model:1502,ate,ZERO,yes,yes,1,1,1,completed,0,172.0,647.0,819.0,40.4669391810894
7097,model:4383,ett,ZERO,no,no,1,1,1,completed,0,184.0,1487.0,1671.0,92.95516018941998
4220,model:973,ett,ZERO,no,no,1,1,1,completed,0,270.0,3142.0,3412.0,195.94000629894435
29719,model:3518,det-counterfactual,ZERO,no,no,1,1,1,completed,0,173.0,1950.0,2123.0,123.15408859588206
6588,model:4264,ate,ZERO,yes,yes,1,1,1,completed,0,243.0,2312.0,2555.0,143.9301920197904
13675,model:1860,nie,ZERO,no,no,1,1,1,completed,0,171.0,803.0,974.0,50.58911759033799
28278,model:6772,ate,ZERO,yes,yes,1,1,1,completed,0,175.0,256.0,431.0,16.358549535274506
18518,model:5711,ate,ZERO,yes,yes,1,1,1,completed,0,169.0,329.0,498.0,20.897123150527477
14524,model:2064,nie,ZERO,yes,,0,0,1,completed,0,370.0,2632.0,3002.0,163.74070656485856
8181,model:4614,ett,ZERO,no,no,1,1,1,completed,0,185.0,1304.0,1489.0,82.8236963506788
9178,model:4858,ett,ZERO,yes,yes,1,1,1,completed,0,202.0,2429.0,2631.0,150.71907605789602
4961,model:3872,nde,ZERO,yes,yes,1,1,1,completed,0,280.0,1127.0,1407.0,71.45982505753636
10103,model:3317,det-counterfactual,ZERO,yes,,0,0,1,completed,0,168.0,3521.0,3689.0,220.6885478477925
20562,model:3457,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,182.0,1318.0,1500.0,81.59629542008042
15865,model:5108,ate,ZERO,yes,yes,1,1,1,completed,0,178.0,785.0,963.0,49.34435339830816
9542,model:3224,det-counterfactual,ZERO,yes,no,0,1,1,completed,0,167.0,1370.0,1537.0,84.72501800581813
29728,model:3520,det-counterfactual,ZERO,no,no,1,1,1,completed,0,168.0,1132.0,1300.0,70.08596151322126
30919,model:3819,det-counterfactual,ZERO,no,no,1,1,1,completed,0,172.0,2546.0,2718.0,159.89315067604184
13348,model:1795,nie,ZERO,no,no,1,1,1,completed,0,384.0,1395.0,1779.0,86.61831299960613
18739,model:5775,ett,ZERO,no,no,1,1,1,completed,0,248.0,2752.0,3000.0,172.4958919454366
15939,model:5125,ett,ZERO,yes,yes,1,1,1,completed,0,191.0,1063.0,1254.0,67.01155403628945
1716,model:399,ett,ZERO,yes,yes,1,1,1,completed,0,187.0,1661.0,1848.0,103.76810340583324
23223,model:2767,ett,ZERO,yes,yes,1,1,1,completed,0,302.0,3182.0,3484.0,199.16004502773285
30219,model:3644,det-counterfactual,ZERO,yes,no,0,1,1,completed,0,201.0,2508.0,2709.0,156.51327378675342
29659,model:3505,det-counterfactual,ZERO,no,no,1,1,1,completed,0,214.0,2380.0,2594.0,148.40339467860758
10544,model:1139,nie,ZERO,yes,yes,1,1,1,completed,0,270.0,2251.0,2521.0,140.77112459018826
30270,model:3657,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,180.0,1054.0,1234.0,65.78812444023788
29739,model:3522,det-counterfactual,ZERO,no,no,1,1,1,completed,0,171.0,2240.0,2411.0,139.8568961173296
28009,model:6714,ate,ZERO,no,no,1,1,1,completed,0,238.0,2563.0,2801.0,160.4190193414688
1791,model:417,ett,ZERO,no,no,1,1,1,completed,0,187.0,1201.0,1388.0,75.00224732793868
18455,model:5698,ate,ZERO,yes,yes,1,1,1,completed,0,189.0,1106.0,1295.0,69.43004842847586
22882,model:2692,ett,ZERO,yes,yes,1,1,1,completed,0,201.0,1203.0,1404.0,75.48823212832212
8482,model:4699,ett,ZERO,yes,yes,1,1,1,completed,0,248.0,1087.0,1335.0,68.25049306079745
14506,model:2061,ett,ZERO,yes,yes,1,1,1,completed,0,222.0,1070.0,1292.0,67.29793977551162
25391,model:6114,ate,ZERO,no,no,1,1,1,completed,0,244.0,5159.0,5403.0,325.1026860717684
5776,model:4076,ett,ZERO,no,no,1,1,1,completed,0,201.0,1337.0,1538.0,84.50343822874129
2857,model:666,nie,ZERO,no,yes,0,1,1,completed,0,372.0,2275.0,2647.0,142.69207547418773
14036,model:1948,ett,ZERO,yes,yes,1,1,1,completed,0,244.0,3229.0,3473.0,202.38437327556312
23731,model:2884,nde,ZERO,no,no,1,1,1,completed,0,376.0,2124.0,2500.0,133.36700329184532
20219,model:3405,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,175.0,1460.0,1635.0,91.32391420006752
18761,model:5781,ate,ZERO,yes,yes,1,1,1,completed,0,237.0,948.0,1185.0,59.23314268141985
25778,model:6205,nie,ZERO,yes,yes,1,1,1,completed,0,310.0,2150.0,2460.0,134.56516852974892
6665,model:4291,ate,ZERO,yes,yes,1,1,1,completed,0,243.0,1387.0,1630.0,87.15586399659514
4898,model:3861,nie,ZERO,yes,yes,1,1,1,completed,0,274.0,996.0,1270.0,62.50111726857722
4790,model:1106,ate,ZERO,yes,yes,1,1,1,completed,0,233.0,1293.0,1526.0,80.56228649802506
6508,model:4249,nie,ZERO,no,no,1,1,1,completed,0,168.0,1058.0,1226.0,65.99425207264721
30587,model:3735,det-counterfactual,ZERO,yes,no,0,1,1,completed,0,170.0,1843.0,2013.0,116.21705761365592
9034,model:4831,ate,ZERO,no,no,1,1,1,completed,0,266.0,2490.0,2756.0,155.63582137785852
13461,model:1818,nie,ZERO,no,no,1,1,1,completed,0,251.0,1643.0,1894.0,103.91643154062331
119,model:23,nde,ZERO,no,no,1,1,1,completed,0,281.0,1891.0,2172.0,119.27126430720091
28440,model:6807,nie,ZERO,no,no,1,1,1,completed,0,300.0,1074.0,1374.0,66.82572223246098
28421,model:6804,ett,ZERO,no,no,1,1,1,completed,0,303.0,3999.0,4302.0,254.0295344348997
13302,model:1786,ate,ZERO,no,no,1,1,1,completed,0,213.0,1018.0,1231.0,63.47946369275451
10332,model:3346,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,220.0,1803.0,2023.0,113.13428687304258
15716,model:5074,ate,ZERO,no,no,1,1,1,completed,0,178.0,1574.0,1752.0,98.96032319031656
25060,model:3193,ate,ZERO,no,no,1,1,1,completed,0,193.0,1375.0,1568.0,86.17070855759084
29463,model:7037,ett,ZERO,yes,yes,1,1,1,completed,0,208.0,1425.0,1633.0,90.2669539488852
9092,model:4841,nde,ZERO,no,no,1,1,1,completed,0,330.0,1692.0,2022.0,105.94318529963493
6831,model:4335,ett,ZERO,no,no,1,1,1,completed,0,191.0,2923.0,3114.0,186.44919779524207
14880,model:2132,ate,ZERO,yes,yes,1,1,1,completed,0,174.0,248.0,422.0,15.42010298371315
26704,model:6413,ett,ZERO,no,no,1,1,1,completed,0,312.0,3142.0,3454.0,195.35747271217406
9850,model:3279,det-counterfactual,ZERO,no,no,1,1,1,completed,0,161.0,1275.0,1436.0,79.39354381710291
20309,model:3419,det-counterfactual,ZERO,no,no,1,1,1,completed,0,200.0,1763.0,1963.0,112.65632109157741
2149,model:510,ett,ZERO,no,no,1,1,1,completed,0,184.0,962.0,1146.0,61.08434967696667
19671,model:5991,ett,ZERO,no,no,1,1,1,completed,0,188.0,1507.0,1695.0,96.37682975269854
6215,model:4167,ate,ZERO,no,no,1,1,1,completed,0,171.0,569.0,740.0,36.89054047688842
21787,model:2443,ate,ZERO,yes,yes,1,1,1,completed,0,245.0,499.0,744.0,32.63700736314058
5435,model:3988,ate,ZERO,no,no,1,1,1,completed,0,178.0,367.0,545.0,23.88424508459866
5214,model:3939,ate,ZERO,no,no,1,1,1,completed,0,191.0,1229.0,1420.0,77.15979175642133
7216,model:4406,nie,ZERO,yes,yes,1,1,1,completed,0,349.0,2391.0,2740.0,148.79003587178886
9081,model:4839,ate,ZERO,yes,yes,1,1,1,completed,0,187.0,2041.0,2228.0,129.75273340567946
4910,model:3864,ate,ZERO,no,no,1,1,1,completed,0,174.0,1155.0,1329.0,72.19605164043605
14113,model:1969,ate,ZERO,yes,yes,1,1,1,completed,0,244.0,913.0,1157.0,58.41606303490698
22127,model:2522,nie,ZERO,no,no,1,1,1,completed,0,180.0,1303.0,1483.0,82.81812654435635
6781,model:4325,nde,ZERO,yes,yes,1,1,1,completed,0,269.0,2438.0,2707.0,153.78604373522103
20364,model:3432,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,189.0,1489.0,1678.0,92.924265678972
10185,model:3327,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,175.0,1888.0,2063.0,119.18393050320446
4563,model:1037,ate,ZERO,yes,yes,1,1,1,completed,0,162.0,458.0,620.0,28.935396820306778
10839,model:1211,ate,ZERO,no,no,1,1,1,completed,0,191.0,263.0,454.0,16.563273645937443
29284,model:7000,ate,ZERO,no,no,1,1,1,completed,0,183.0,427.0,610.0,26.94095160998404
30791,model:3787,det-counterfactual,ZERO,yes,no,0,1,1,completed,0,202.0,3021.0,3223.0,190.8522892240435
24698,model:3108,ett,ZERO,no,no,1,1,1,completed,0,297.0,2704.0,3001.0,168.35102769359946
4027,model:933,ett,ZERO,no,no,1,1,1,completed,0,219.0,1253.0,1472.0,78.67381380870938
29109,model:6958,ett,ZERO,yes,yes,1,1,1,completed,0,190.0,1082.0,1272.0,67.85384158045053
11590,model:1384,ate,ZERO,yes,yes,1,1,1,completed,0,202.0,494.0,696.0,30.816802384331822
19496,model:5954,nde,ZERO,yes,yes,1,1,1,completed,0,342.0,1869.0,2211.0,115.72486733458936
4685,model:1068,ate,ZERO,yes,no,0,1,1,completed,0,248.0,2383.0,2631.0,150.90621825121343
27140,model:6514,ate,ZERO,yes,no,0,1,1,completed,0,229.0,2281.0,2510.0,141.3796341624111
5440,model:3989,ate,ZERO,yes,yes,1,1,1,completed,0,178.0,856.0,1034.0,52.96436752937734
20980,model:2264,ate,ZERO,no,yes,0,1,1,completed,0,317.0,3312.0,3629.0,205.73869833163917
20893,model:2247,ett,ZERO,yes,yes,1,1,1,completed,0,273.0,2290.0,2563.0,144.9566808436066
25215,model:6073,ett,ZERO,no,no,1,1,1,completed,0,196.0,1001.0,1197.0,63.945033276453614
29090,model:6954,ate,ZERO,no,no,1,1,1,completed,0,176.0,999.0,1175.0,61.91382958739996
29758,model:3529,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,184.0,1867.0,2051.0,115.89572986215353
30698,model:3764,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,180.0,2343.0,2523.0,145.60558340139687
28593,model:6842,ate,ZERO,no,no,1,1,1,completed,0,188.0,1281.0,1469.0,81.66164248809218
21453,model:2368,nie,ZERO,no,no,1,1,1,completed,0,311.0,2302.0,2613.0,146.3935458380729
11181,model:1290,ate,ZERO,yes,yes,1,1,1,completed,0,186.0,262.0,448.0,16.852896248921752
5906,model:4102,ate,ZERO,no,no,1,1,1,completed,0,184.0,744.0,928.0,46.23223899491131
4181,model:964,ate,ZERO,no,no,1,1,1,completed,0,266.0,1483.0,1749.0,93.89941493235528
23668,model:2869,ett,ZERO,no,yes,0,1,1,completed,0,310.0,1598.0,1908.0,99.3441077657044
10992,model:1244,ett,ZERO,no,yes,0,1,1,completed,0,199.0,1155.0,1354.0,72.13041407614946
26276,model:6319,ate,ZERO,yes,yes,1,1,1,completed,0,231.0,3334.0,3565.0,206.41587986797094
7697,model:4522,ate,ZERO,yes,yes,1,1,1,completed,0,208.0,1730.0,1938.0,109.23593554832041
18063,model:5626,nie,ZERO,yes,,0,0,1,completed,0,384.0,3370.0,3754.0,211.47849021479487
21105,model:2289,nie,ZERO,no,yes,0,1,1,completed,0,379.0,5277.0,5656.0,330.81401537917554
29594,model:3486,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,171.0,1063.0,1234.0,65.98718672432005
5550,model:4016,ett,ZERO,no,no,1,1,1,completed,0,196.0,1551.0,1747.0,95.99630065821111
27147,model:6517,ate,ZERO,yes,no,0,1,1,completed,0,229.0,2120.0,2349.0,133.22282194159925
22098,model:2516,ate,ZERO,no,no,1,1,1,completed,0,176.0,1010.0,1186.0,62.7247647177428
19582,model:5971,ate,ZERO,yes,yes,1,1,1,completed,0,192.0,1110.0,1302.0,68.9938210695982
12089,model:1505,nie,ZERO,no,no,1,1,1,completed,0,170.0,1246.0,1416.0,78.96677624434233
12462,model:1606,ate,ZERO,no,no,1,1,1,completed,0,178.0,880.0,1058.0,54.75226805917919
24692,model:3107,ate,ZERO,no,no,1,1,1,completed,0,255.0,1313.0,1568.0,81.16910468041897
18623,model:5737,ate,ZERO,yes,yes,1,1,1,completed,0,229.0,1933.0,2162.0,121.53899443894625
24527,model:3068,ett,ZERO,no,no,1,1,1,completed,0,304.0,4550.0,4854.0,284.7872884515673
20700,model:3476,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,212.0,1490.0,1702.0,91.89635127224028
8935,model:4807,ett,ZERO,no,no,1,1,1,completed,0,270.0,3954.0,4224.0,247.62991857528687
5173,model:3927,ett,ZERO,yes,no,0,1,1,completed,0,303.0,2422.0,2725.0,150.96632427722216
30954,model:3828,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,208.0,1716.0,1924.0,105.96293229982257
27991,model:6710,ate,ZERO,no,no,1,1,1,completed,0,307.0,3191.0,3498.0,199.84708889760077
27351,model:6566,nie,ZERO,yes,yes,1,1,1,completed,0,176.0,888.0,1064.0,55.66991792432964
518,model:114,nie,ZERO,no,no,1,1,1,completed,0,186.0,1887.0,2073.0,116.41644839011133
20654,model:3469,det-counterfactual,ZERO,no,yes,0,1,1,completed,0,198.0,1351.0,1549.0,83.44053048826754
23412,model:2809,ett,ZERO,yes,yes,1,1,1,completed,0,301.0,3030.0,3331.0,186.96009653434157
4421,model:1010,ett,ZERO,no,no,1,1,1,completed,0,202.0,1286.0,1488.0,80.35805254243314
18924,model:5823,ate,ZERO,no,no,1,1,1,completed,0,237.0,1936.0,2173.0,119.86077512055635
15632,model:5054,ett,ZERO,yes,yes,1,1,1,completed,0,203.0,1263.0,1466.0,78.40859589166939
8963,model:4812,ate,ZERO,no,yes,0,1,1,completed,0,267.0,2584.0,2851.0,162.11919480003417
20875,model:2242,ett,ZERO,yes,yes,1,1,1,completed,0,273.0,4603.0,4876.0,288.96069926954806
1110,model:256,nde,ZERO,yes,yes,1,1,1,completed,0,296.0,2855.0,3151.0,176.462971361354
18263,model:5664,ett,ZERO,yes,yes,1,1,1,completed,0,182.0,2218.0,2400.0,139.70502294041216
24209,model:2996,ate,ZERO,no,no,1,1,1,completed,0,188.0,810.0,998.0,51.036801643669605
30985,model:3836,det-counterfactual,ZERO,no,yes,0,1,1,completed,0,185.0,1357.0,1542.0,85.2796967420727
21872,model:2462,ett,ZERO,no,no,1,1,1,completed,0,300.0,4282.0,4582.0,265.12725540436804
15494,model:5019,ett,ZERO,no,yes,0,1,1,completed,0,301.0,2042.0,2343.0,125.60915760882199
17275,model:5456,ett,ZERO,yes,yes,1,1,1,completed,0,188.0,1372.0,1560.0,86.20075747743249
21502,model:2381,nde,ZERO,no,yes,0,1,1,completed,0,374.0,5744.0,6118.0,355.67778691649437
16428,model:5240,nie,ZERO,no,no,1,1,1,completed,0,192.0,1563.0,1755.0,96.24607679620385
23303,model:2785,nde,ZERO,yes,yes,1,1,1,completed,0,369.0,899.0,1268.0,56.21311168000102
15589,model:5044,nie,ZERO,yes,yes,1,1,1,completed,0,191.0,1640.0,1831.0,103.73741371743381
12863,model:1681,ett,ZERO,no,no,1,1,1,completed,0,201.0,2464.0,2665.0,154.7746719289571
14925,model:2140,ett,ZERO,yes,yes,1,1,1,completed,0,188.0,1024.0,1212.0,64.72735286690295
6109,model:4145,nde,ZERO,no,no,1,1,1,completed,0,264.0,1899.0,2163.0,119.4792214948684
5112,model:3912,ate,ZERO,no,no,1,1,1,completed,0,258.0,1355.0,1613.0,83.49677838012576
1693,model:394,ate,ZERO,yes,yes,1,1,1,completed,0,171.0,286.0,457.0,18.18591457977891
29938,model:3574,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,201.0,1223.0,1424.0,75.35532374866307
2390,model:557,ate,ZERO,yes,yes,1,1,1,completed,0,193.0,854.0,1047.0,53.0513403955847
17061,model:5402,ate,ZERO,yes,no,0,1,1,completed,0,245.0,3773.0,4018.0,238.49603157676756
4601,model:1046,ett,ZERO,no,no,1,1,1,completed,0,175.0,1053.0,1228.0,66.30369639582932
28957,model:6928,ate,ZERO,no,no,1,1,1,completed,0,199.0,1058.0,1257.0,66.48864962346852
29930,model:3572,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,198.0,5879.0,6077.0,365.283759880811
21262,model:2326,nie,ZERO,no,no,1,1,1,completed,0,181.0,1506.0,1687.0,94.07805588841438
17009,model:5384,ate,ZERO,no,yes,0,1,1,completed,0,245.0,2798.0,3043.0,176.72070743329823
17474,model:5490,nde,ZERO,no,no,1,1,1,completed,0,286.0,1352.0,1638.0,84.22658411599696
20519,model:3452,det-counterfactual,ZERO,no,no,1,1,1,completed,0,175.0,2118.0,2293.0,132.88279445655644
7328,model:4426,nie,ZERO,yes,,0,0,1,completed,0,332.0,2969.0,3301.0,184.64345862343907
30426,model:3696,det-counterfactual,ZERO,no,yes,0,1,1,completed,0,194.0,4454.0,4648.0,277.09884643368423
23044,model:2726,ett,ZERO,yes,yes,1,1,1,completed,0,189.0,730.0,919.0,46.142458748072386
4947,model:3870,ate,ZERO,yes,yes,1,1,1,completed,0,174.0,1127.0,1301.0,70.78001040779054
27516,model:6604,ate,ZERO,yes,yes,1,1,1,completed,0,299.0,2033.0,2332.0,126.2474173642695
15817,model:5095,nie,ZERO,yes,no,0,1,1,completed,0,179.0,973.0,1152.0,61.38202629983425
9677,model:3246,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,171.0,2368.0,2539.0,150.83577847480774
10197,model:3329,det-counterfactual,ZERO,yes,yes,1,1,1,completed,0,209.0,1616.0,1825.0,103.32427091524005
10041,model:3310,det-counterfactual,ZERO,no,,0,0,1,completed,0,193.0,1572.0,1765.0,100.53361801803112
1090,model:252,ett,ZERO,no,no,1,1,1,completed,0,198.0,1895.0,2093.0,117.58868747763336
27947,model:6702,ate,ZERO,no,no,1,1,1,completed,0,181.0,879.0,1060.0,56.68667436763644
406,model:92,ett,ZERO,no,no,1,1,1,completed,0,201.0,1305.0,1506.0,80.83925383724272
23817,model:2902,ett,ZERO,yes,yes,1,1,1,completed,0,294.0,1823.0,2117.0,116.4776062387973
23218,model:2766,nie,ZERO,no,yes,0,1,1,completed,0,300.0,1957.0,2257.0,121.37768087536097
17407,model:5478,nie,ZERO,yes,yes,1,1,1,completed,0,280.0,2007.0,2287.0,128.35415312461555
10741,model:1188,ate,ZERO,yes,yes,1,1,1,completed,0,250.0,1017.0,1267.0,64.81722267903388
3288,model:751,ate,ZERO,no,no,1,1,1,completed,0,173.0,387.0,560.0,23.881014373153448
9958,model:3298,det-counterfactual,ZERO,no,yes,0,1,1,completed,0,159.0,1788.0,1947.0,110.96422981843352
22002,model:2493,ate,ZERO,no,no,1,1,1,completed,0,189.0,1012.0,1201.0,63.15281836502254
6007,model:4123,nie,ZERO,yes,yes,1,1,1,completed,0,202.0,1268.0,1470.0,80.65406338497996
