c0_answer,c0_correct,candidate_answer,candidate_changed_from_c0,candidate_correct,candidate_first_pass_record_sha256,gold_answer_post_run_join,legacy_answer,legacy_correct,legacy_execution_valid,legacy_failure_type,order,pack,query_family,question_id
no,True,no,False,True,3bb300120add00ccc1a4bae435ef614bbcdf4d89e8a83966cfe18487afa92cd0,no,no,True,True,,43,clean_holdout_natural,ate,cladder:8824
yes,True,yes,False,True,62d518bccf790f89b51c062e523c99b078d664b137dea52b27976065b5c36b13,yes,yes,True,True,,44,clean_holdout_natural,det-counterfactual,cladder:9985
yes,True,yes,False,True,3cf70abb7cac0a1327ef5e520e5d4b83d6f6abcd750a946027350ebfc05eae82,yes,yes,True,True,,45,clean_holdout_natural,ate,cladder:27315
yes,True,yes,False,True,7ac1402de9fef7f2c43a2c8292cfaae0a7c034821fa6e888aa8db815af0ccd5c,yes,yes,True,True,,46,clean_holdout_natural,ett,cladder:11857
yes,True,yes,False,True,b6ed7b46924226965c93a196ec7dcfbc87c8936b292dbe755804ec1ab5e2b18b,yes,yes,True,True,,47,clean_holdout_natural,correlation,cladder:27777
no,True,no,False,True,bfd280873b7e42315da7b596ed00df19d545ed747ca1c80660395a3fe5ddf21c,no,no,True,True,,48,clean_holdout_natural,collider_bias,cladder:7458
no,True,no,False,True,57e211a1179a8554116231b8e902aaf69e5ef96bb2cb7e76240dfd9ca2847bd5,no,no,True,True,,49,clean_holdout_natural,marginal,cladder:15141
yes,True,yes,False,True,72b25d2d8ced0f360150198648be9b9653e98e9de2a85ce0f9398788d6a973cd,yes,yes,True,True,,50,clean_holdout_natural,correlation,cladder:21234
yes,True,yes,False,True,17fcd6aec243420b899715e91a3db3b9aa263fdcb78267580dd63f630035e028,yes,yes,True,True,,51,clean_holdout_natural,nie,cladder:27800
yes,True,yes,False,True,b6114e5698c249d7575d18895a057a1e8729b991d5d18b9796018ac1158255af,yes,yes,True,True,,52,clean_holdout_natural,ate,cladder:16941
no,True,no,False,True,327af7c5ed3294c6d83c81555111803035ec716b6c967fc54829d5437edd8f7e,no,no,True,True,,53,clean_holdout_natural,ett,cladder:25215
no,True,no,False,True,5cf8a81310cdba151bdf677ee447a7d660587ac4d834a4fa2e6e14266dc43b31,no,no,True,True,,54,clean_holdout_natural,ett,cladder:21678
yes,True,yes,False,True,b7f0d6eeb0a16a3209a274f77d6798db9b3e7a3372358383f262008a6336fb34,yes,yes,True,True,,55,clean_holdout_natural,ett,cladder:27671
yes,True,yes,False,True,f0bddffe8edcea56d2eb2ac9eac36d5a3fe3867c061e9274168c566e93fcfe00,yes,yes,True,True,,56,clean_holdout_natural,ett,cladder:20789
yes,True,yes,False,True,81a2e38ab5ed7b25f4cbec0fa04c258bf9289e746f744c34001e1451066255fc,yes,yes,True,True,,57,clean_holdout_natural,marginal,cladder:6898
no,True,no,False,True,f022476d8288e11e55535e9caff3b2b999599774f491dad756c01f9e6889f270,no,no,True,True,,58,clean_holdout_natural,ett,cladder:24210
yes,True,yes,False,True,6cb6a09fb63a7740aeb4441a56c185edbbdda8a7b28281a4593ff3a3e98dbe35,yes,yes,True,True,,59,clean_holdout_natural,det-counterfactual,cladder:20272
yes,True,yes,False,True,6b00f0ffde524e4f8138ced4373c5fe3852bba65d3bc0639660699aa9d06e0ac,yes,yes,True,True,,60,clean_holdout_natural,correlation,cladder:9038
yes,True,yes,False,True,1802e89656e9cf1c818a0763675e0dc4fdef0d2da6018c80933b2271c6c36d41,yes,yes,True,True,,61,clean_holdout_natural,det-counterfactual,cladder:20125
no,True,no,False,True,bf9bd0efc9ca47e02657303ee5999603b4639d18783ce147e77b5106f967d17e,no,no,True,True,,62,clean_holdout_natural,ate,cladder:28199
no,True,no,False,True,872396e880c0f5f8531748a74eca4778975e9fa0bdcd617ab846623367289b05,no,no,True,True,,63,clean_holdout_natural,marginal,cladder:12617
no,True,no,False,True,04fba99e8917905a19cc7260902feaa192e786ad81c14c03a69e1ed87b319b07,no,no,True,True,,64,clean_holdout_natural,correlation,cladder:15313
yes,True,yes,False,True,6cce6f8a4135ec62dfb36c2050fa7c839d653f7562dfcda7e2d199402137da02,yes,yes,True,True,,65,clean_holdout_natural,exp_away,cladder:23530
no,True,no,False,True,d3628c75ca070f36ac1213dbf75745b9b5a40697797923a38f21d7ed65079b09,no,no,True,True,,66,clean_holdout_natural,marginal,cladder:25411
yes,True,yes,False,True,cdeb69c8f4935c8e6f73c9573bb10c1fc4e11a592688886e045b0d51088b1817,yes,yes,True,True,,67,clean_holdout_natural,correlation,cladder:3386
yes,True,yes,False,True,fc920a5ac678b826bd9ad27c59fcf37a6cfd7fb82a91a4b25886f7cd1dfdd11a,yes,yes,True,True,,68,clean_holdout_natural,marginal,cladder:26539
yes,True,yes,False,True,2eda6126e7cb997c349dc394819afab614448c189967788c85a7c9285e99b727,yes,yes,True,True,,69,clean_holdout_natural,marginal,cladder:28019
no,True,no,False,True,bc6dfad4f201192737bbf94c91f45055f27c8df06fa1815a3e9039f4659dfa91,no,no,True,True,,70,clean_holdout_natural,exp_away,cladder:13106
no,True,no,False,True,fc6c02a99d840ae98c6c28874c353e2bb09c56b6e29d663ae7798df890134abb,no,no,True,True,,71,clean_holdout_natural,ett,cladder:22549
no,True,no,False,True,fc6d4807825efb517755abe28188a74c0540e7ed5f0246ce53c7e6b0dbeaf759,no,no,True,True,,72,clean_holdout_natural,backadj,cladder:10659
no,True,no,False,True,336627674febebd86d52de8addcb5f8a8501b0707f1aca0c94bb2277bdbbfa30,no,no,True,True,,73,clean_holdout_natural,ett,cladder:16100
yes,True,yes,False,True,1d5f70cb06462d6aa234ea88afd0ff8216bc0048ddc3f433660e66c592307e40,yes,yes,True,True,,74,clean_holdout_natural,ate,cladder:26939
no,True,no,False,True,9097c22279387f66d1fad67c67b3641a7919b2bb811e6993278642cb2e853ea7,no,no,True,True,,75,clean_holdout_natural,collider_bias,cladder:25226
no,False,no,False,False,4a660927b97666c87641017cef611cca37bf125598cb33d293740c79e2ee0f14,yes,no,False,True,,76,clean_holdout_natural,backadj,cladder:15483
no,True,no,False,True,d626696fa490fc6580eb0326ac675ab27246c3b69d1c2230d6f53842fe36789d,no,no,True,True,,77,clean_holdout_natural,marginal,cladder:5921
yes,True,yes,False,True,0c70fcf77e1a729ca3faad782f72ccd445158ed16084879d69af1640e3fe8adc,yes,yes,True,True,,78,clean_holdout_natural,nie,cladder:18370
no,True,no,False,True,5a6ef07fffa6555327d800cfbbe31288e8f26d48a0c005ac9b2234bec2c72670,no,no,True,True,,79,clean_holdout_natural,ett,cladder:8718
no,True,no,False,True,ceb9dec4ebfbbd1ae3075fc66a4ca39e82f573afc8380bb6dba3f2c703d12574,no,no,True,True,,80,clean_holdout_natural,marginal,cladder:4395
no,True,no,False,True,200d8eb33b20901221d888dc3a3a0b200016780a4c0ff6279db249e2923f7220,no,no,True,True,,81,clean_holdout_natural,correlation,cladder:14024
no,True,no,False,True,33f33c1a118765a44f9808df02242a2a2144c74167b56e3e5df27fac87f10223,no,no,True,True,,82,clean_holdout_natural,nde,cladder:4405
no,True,no,False,True,09ba16c178ecf3d589cb91b297c361f0caf787114239fb981657ce7183b33568,no,no,True,True,,83,clean_holdout_natural,det-counterfactual,cladder:9799
yes,True,yes,False,True,b26b0b45f43485e04c5fb0b5b62e6d2700c0fe391dd2880a4c2f776e631565c2,yes,yes,True,True,,84,clean_holdout_natural,nde,cladder:18197
no,True,no,False,True,d518b7b5e787a2a7741dff46dd21f3d962fb3c692ba53f8f99da4b9b088a3c3c,no,no,True,True,,85,clean_holdout_natural,ett,cladder:25746
no,True,no,False,True,96769a8ac975b21bb56918d699a88e85b09d1e62bfc7dcac4529392494e8253d,no,no,True,True,,86,clean_holdout_natural,nie,cladder:10413
yes,True,yes,False,True,2f3fb3e8ed53de1aecd2b8dbe63de9c43881c00d28657c031eda7a7dab052850,yes,yes,True,True,,87,clean_holdout_natural,ate,cladder:2272
no,True,no,False,True,25cd166dd90862525ac2dbf13dbe12dc46ef8fd39bcc197e3020cbc030e8f601,no,no,True,True,,88,clean_holdout_natural,ate,cladder:5112
yes,True,yes,False,True,7c35c4a768a1452652b11e6129fb28be19f67d35b2447d394c6053c86a05fc2e,yes,yes,True,True,,89,clean_holdout_natural,correlation,cladder:27166
yes,True,yes,False,True,fff5b1fa53d44a5cd5efa278b706bcf71774ade752274d08bf3d6775f79a0131,yes,yes,True,True,,90,clean_holdout_natural,nie,cladder:25382
yes,True,yes,False,True,dcc4f7ecc9c9a6a42cf80d9cce675900fe4fca0a64ea5befd4696152983ccb16,yes,yes,True,True,,91,clean_holdout_natural,ate,cladder:6588
yes,True,yes,False,True,ddcda2e1399372c66682d7e6b38a811ba643e0874c91255dee6db699cae5a6d1,yes,yes,True,True,,92,clean_holdout_natural,marginal,cladder:23935
no,True,no,False,True,52c6fe9415299c31e306b672c58342688a86785ca3fbf6516cc6d1d179257468,no,no,True,True,,93,clean_holdout_natural,ett,cladder:25261
no,True,no,False,True,fb90bd5253c560da65154417bf41ac14841598401da35856c9ac9c632803efee,no,no,True,True,,94,clean_holdout_natural,ate,cladder:11479
no,True,no,False,True,283f9613387ddeae8b33ffa0631f73a04eaf437863e0287bf6aafcc5e2eccfe4,no,no,True,True,,95,clean_holdout_natural,det-counterfactual,cladder:30720
no,True,no,False,True,1f3c0d0344d6f864cadaab8df9aa5f6d24578394d868664dbafbaa263b16ace5,no,no,True,True,,96,clean_holdout_natural,backadj,cladder:1540
no,True,no,False,True,2e39705ab277f1417e42a7d53705ee47d983e40f04bbb5f000ef3aa6538e96f1,no,no,True,True,,97,clean_holdout_natural,ate,cladder:21640
yes,True,yes,False,True,3fc68f54a38bc8541c428144c8ccc922dada0e1c366212c6139c9da77734dba1,yes,yes,True,True,,98,clean_holdout_natural,ate,cladder:23291
no,True,no,False,True,70441c0ed8c46fe8ba00dbec3decc3d66ee6e0d3e22b4740233a4f1e349f0c19,no,no,True,True,,99,clean_holdout_natural,marginal,cladder:12116
yes,True,yes,False,True,f646301577fed248b0aff09d609d1f99caeb15cb90abee2a54410395327a159b,yes,yes,True,True,,100,clean_holdout_natural,marginal,cladder:10971
no,True,no,False,True,60bb4df84f6007b9f388143d50e85f7cc0ca20c16e29de0c871f994ae2f40002,no,no,True,True,,101,clean_holdout_natural,det-counterfactual,cladder:20371
no,True,no,False,True,f9da5c4d46472c2f6b4e27fe33b7d4344b63b578a4ac12278194bf6eb59405cf,no,no,True,True,,102,clean_holdout_natural,ate,cladder:8414
yes,True,yes,False,True,a3e1cbcda88fa535a37ce3539a3338d58374d92b34e9ccb044c4ba76fee72d41,yes,yes,True,True,,103,clean_holdout_natural,ett,cladder:21968
no,True,no,False,True,cc40a8ea208c75c1f42f80b15cc1c312915e44454037cfc0e3e992f63f30d5c9,no,no,True,True,,104,clean_holdout_natural,correlation,cladder:16750
yes,True,yes,False,True,a7c6f16d4608ed7ff36fea64d2f8ccc7ee72e3bff79d204761bc2b693296b209,yes,yes,True,True,,105,clean_holdout_natural,correlation,cladder:5743
no,True,no,False,True,ae0445bbb714873dbf3df93c412da3ba06b2da51d35a6887115449b8f24a7ae4,no,no,True,True,,106,clean_holdout_natural,ett,cladder:28331
yes,True,yes,False,True,2af586a6b25357c15c5f961e9fa8c6e6ec3aebd8aa47777d8300a11006379ebb,yes,yes,True,True,,107,clean_holdout_natural,ett,cladder:25995
yes,True,yes,False,True,ebb4fe47485abc8126a0af120ddaf80ddf669f79a7bf7dad5360b52847bb23f5,yes,yes,True,True,,108,clean_holdout_natural,nde,cladder:15243
yes,True,yes,False,True,ce55b61974988d1765d67100861b2bdcb8cc78e0d21cb73a5361760bc22e7452,yes,yes,True,True,,109,clean_holdout_natural,correlation,cladder:22636
no,False,no,False,False,1ebac210225d73c957a53d2ea025425340fecaaa4c413cebbc27e4b1d5cd959f,yes,no,False,True,,110,clean_holdout_natural,ett,cladder:4260
yes,True,yes,False,True,60db08a9424cb755b7d646b3635b7450ebbe82ee1ed531245e7ddfac5c3bf71d,yes,yes,True,True,,111,clean_holdout_natural,backadj,cladder:22314
no,True,no,False,True,c833832530a744080b296245e56263bc60c0eb4ee9d26680bc316a68381ed6eb,no,no,True,True,,112,clean_holdout_natural,ate,cladder:2435
no,True,no,False,True,1c319af794bef21963d3e111e6971e6b2ae0f08d789424b5fa47508bd74a14a7,no,no,True,True,,113,clean_holdout_natural,ate,cladder:321
yes,True,yes,False,True,6b3b95e46781082a7c5f8edf355ff5296791f691af6a79bf4c7617de694e7fe4,yes,yes,True,True,,114,clean_holdout_natural,marginal,cladder:22770
yes,True,yes,False,True,ec5326751736b7ffa7dd8d5d4bcd60c96bebfbddc4701c79808f843b661b94da,yes,yes,True,True,,115,clean_holdout_natural,marginal,cladder:14856
yes,True,yes,False,True,c329843351f9594c7ebb99530ff3f62943b340b8f56dd94eca5686c793e60019,yes,yes,True,True,,116,clean_holdout_natural,nie,cladder:8954
no,True,no,False,True,bee708f55007ac8125a8f69ee575a39801c77315e84100aee5667bf00578d6fd,no,no,True,True,,117,clean_holdout_natural,nde,cladder:17474
no,True,no,False,True,a3cd6d6df8870a9a61c19f913839b36fceebd89cc5dd19d67782801befd8baf4,no,yes,False,True,,118,clean_holdout_natural,ate,cladder:27528
no,True,no,False,True,6b57d5b7865a0be39a69118905bb136b50e874494d40fd9a860732cf9fb65159,no,yes,False,True,,119,clean_holdout_natural,ate,cladder:4302
yes,True,yes,False,True,d2e1823e47669f94ce9e44f1b1e39203fa775fbb0137388e3b00c33df065ae06,yes,yes,True,True,,120,clean_holdout_natural,marginal,cladder:18504
yes,True,yes,False,True,c6a602c2779040224a3c1accb35df1982ec037cdcf71cf171f98c1b0d7caa05b,yes,yes,True,True,,121,clean_holdout_natural,exp_away,cladder:2735
yes,True,yes,False,True,54d943f93db4c140bcac217f141036e2f23de2a61b290bb7d936bf6d173798dd,yes,yes,True,True,,122,clean_holdout_natural,correlation,cladder:19358
no,True,no,False,True,2a72b717dda02418ac75591b41b694ac0434e114fec770a483c85864c6fb54d1,no,no,True,True,,123,clean_holdout_natural,nie,cladder:28445
yes,True,yes,False,True,aaaa01de922fb730e2899a8c14af73c85f80664075d0e2f80719d55c2d31890a,yes,yes,True,True,,124,clean_holdout_natural,ate,cladder:213
no,True,no,False,True,d08b2a3071e8ae0f2518d5e9ffb1ae76bf2572979f6c82c094e0fcf2a05b34fc,no,no,True,True,,125,clean_holdout_natural,marginal,cladder:22370
yes,True,yes,False,True,ff45313e8ab5edc4983f7010d37c6739a46175c4ddff4c926578257d2b2b7873,yes,yes,True,True,,126,clean_holdout_natural,ate,cladder:2574
no,True,no,False,True,a9ddf366b2619d2a60bb62959297b375014df8b97008658e89ddea40563860b8,no,no,True,True,,127,clean_holdout_natural,ate,cladder:12167
no,True,no,False,True,d476c393f3546b097795505d36a872e416ede7fac4048b510d2ece3481224ee8,no,no,True,True,,128,clean_holdout_natural,ate,cladder:15716
yes,True,yes,False,True,c44ce0113f6bcc6f60ac816d985907173f21e0ca5f92055f6004bc46eb53c6c7,yes,yes,True,True,,129,clean_holdout_natural,ett,cladder:25941
yes,True,yes,False,True,55b256c68dac49195d9b91c51858c35713031019e26f594fe15ab621397c4334,yes,yes,True,True,,130,clean_holdout_natural,marginal,cladder:628
yes,True,yes,False,True,531380ecc7cfdb465e9396ee4a37cca00f0faa9b9bd91a58aa3bcc77f443c105,yes,yes,True,True,,131,clean_holdout_natural,nie,cladder:28688
no,True,no,False,True,c69ac31f1490e3e949e7e536bea9c789af326a24e26fa3c7cd9688452860dc35,no,no,True,True,,132,clean_holdout_natural,ate,cladder:3452
yes,True,yes,False,True,8842f813167c7747efbd5fe93d090884d9f59e7675a2d8265bc20aa50d8ceca2,yes,yes,True,True,,133,clean_holdout_natural,ate,cladder:1884
no,True,no,False,True,85483c327cf848ef02fb1e4112f3ee9256fbcb561258620190249d48cf52c174,no,no,True,True,,134,clean_holdout_natural,ate,cladder:26886
no,True,no,False,True,10ff9485a54b47833416947dcc737d37adc1af6c7e4dd7bd697345b4e1aabfff,no,no,True,True,,135,clean_holdout_natural,nie,cladder:17602
no,True,no,False,True,7be473e4c49c134c3a9957b33b1ac4a6ed61f76546bc38d208e0ac993943e651,no,no,True,True,,136,clean_holdout_natural,ate,cladder:24329
no,True,no,False,True,17d50b6e5a43dc2e8ad120cb62f5d7ccb6604bf8287df409cce835662083a521,no,no,True,True,,137,clean_holdout_natural,det-counterfactual,cladder:20031
no,True,no,False,True,5d0d750f65f17c765bc9837c6079da7540684c9e448a65bad88a76424a653441,no,no,True,True,,138,clean_holdout_natural,ate,cladder:14295
yes,True,yes,False,True,1685905a2b549c461d0be736a638b3e6ecd6025776259e3beccbe749fa813633,yes,yes,True,True,,139,clean_holdout_natural,nie,cladder:16953
no,True,no,False,True,8b3db59f19d3c5b3f38e540d85e54dd1249bcc4ab7b2b204a93b1de25a4d4e8b,no,no,True,True,,140,clean_holdout_natural,marginal,cladder:16981
yes,True,yes,False,True,4a0181bd4356488ccfbdbf1ad062da7e702e8cda4b131c5d8f6bb1f2805d2b5d,yes,yes,True,True,,141,clean_holdout_natural,det-counterfactual,cladder:9955
yes,True,yes,False,True,5894ed5591bcff424e358f34fd8599887ae5631f1d4681334c4758d3e7e22278,yes,yes,True,True,,142,clean_holdout_natural,det-counterfactual,cladder:30729
no,True,no,False,True,6530fbfcc2f763cff4c8e93db8fe095c1aa0ae0d596e1e0f19770de40e4447b9,no,no,True,True,,143,clean_holdout_natural,ate,cladder:16463
no,True,no,False,True,a3fb8b3016f03536a7e618b0c51a789979741c54eb2e6cfdd2bd04c2c1db6ffc,no,no,True,True,,144,clean_holdout_natural,marginal,cladder:10714
yes,True,yes,False,True,92e61f1f403397d9e49cb62ccc9a2fa7029945888495f48852d065fddee42b21,yes,yes,True,True,,145,clean_holdout_natural,ate,cladder:28100
yes,True,yes,False,True,4ab6b662c7a65ace1a63877eaf33497aa7835aff2794958287a720b5793c4bdc,yes,yes,True,True,,146,clean_holdout_natural,nie,cladder:7601
yes,True,yes,False,True,448490d068d6b50b76f1cbcec9dbea1f2b7ad2ddd8938a37d5dfe5d11e9dd788,yes,yes,True,True,,147,clean_holdout_natural,nde,cladder:23186
no,True,no,False,True,9db10adb19c22f53f4ac779dd3585f345e2041f47f9902194dbebc057ed9d0f5,no,no,True,True,,148,clean_holdout_natural,marginal,cladder:25308
yes,True,yes,False,True,b6e70e9eb18c14c1086cb99fccf6a78fa9a59828d3ebc4dc4c5eb63672ab6e19,yes,yes,True,True,,149,clean_holdout_natural,marginal,cladder:958
yes,True,yes,False,True,1f5be309ef34e94864bd9cd7158ee66a181dbd4838971afc81c47749a8816793,yes,yes,True,True,,150,clean_holdout_natural,ate,cladder:28541
yes,True,yes,False,True,0baf7530a93b58e1c383ac52bbaa1a22ed2aa6065d1f0c7cd476ce41ed7c97dc,yes,yes,True,True,,151,clean_holdout_natural,ett,cladder:988
yes,True,yes,False,True,5c2ef118868ef7dcdc4318d9c6e754658aac725b7e4a1786eceba16b59b958b9,yes,yes,True,True,,152,clean_holdout_natural,ate,cladder:21277
yes,True,yes,False,True,21b32276067f52bfd72ea45ce5c4f70f8e72a2ed3a600cd86d7a7f95b806ec25,yes,yes,True,True,,153,clean_holdout_natural,nde,cladder:6249
yes,True,yes,False,True,d9bd260e1bcc58a8f35bd5f0ceb894f954d2be34a57b413ff33699f61267322f,yes,yes,True,True,,154,clean_holdout_natural,ate,cladder:6226
yes,True,yes,False,True,32c62c1c758b435cce1ef556fdab7711865ef689f2efe88130328a04c015eb4c,yes,yes,True,True,,155,clean_holdout_natural,correlation,cladder:18529
no,True,no,False,True,f46b8095a68695949f63fd17fe46eb920e594740f3357d9ada58f762683639f1,no,no,True,True,,156,clean_holdout_natural,ett,cladder:22536
no,True,no,False,True,a354ef16670fe13cabcf82c6f34250a7a23b22143978ae9f27a231fae8fb335a,no,no,True,True,,157,clean_holdout_natural,ate,cladder:668
