question_id,query_type,graph_id,model_id,asset_status,gold_answer,recomputed_label,rounded_public_label,SCM_label,given_estimand_numeric_matches_source,SCM_numeric_matches_source,given_estimand_minus_source,SCM_minus_source,candidate_numeric_equalities_extracted,candidate_local_arithmetic_flags,source_step5_status,source_step5,source_oracle,recomputed_given_estimand,recomputed_SCM,full_semantic_status,segment_count,segment_all_text_and_bounds_exact,segments_concat_equals_parent,last_segment_reaches_parent_end,independent_parent_tokens,parent_stored_tokens,parent_final_answer_matches_gold,full_natural_language_semantics,accepted_output,candidate_tokens,strictly_shorter,pool_full_cot_equals_original_parent,pool_parent_token_count_matches,pool_candidate_token_count_matches,selected_request_key,candidate_last_explicit_json_answer,candidate_last_explicit_answer_matches_gold,reasoning_json_extraction_is_not_final_scoring,selected_lineage_status,prefix_plus_suffix_equals_chain,raw_complete_chain_equals_accepted_cot,raw_state,effective_state,recovery_source,branch,step_index,prefix_expected_from_parent_matches,prefix_answer_exposed_marker,raw_final_content_exact_lowercase_json,raw_final_content_strict_json,raw_final_content_answer,raw_final_answer_matches_gold
9686,det-counterfactual,diamond,3249,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = [0] = 0 and 1,0,0,,UNKNOWN,44,True,True,True,1553,1561,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1262,True,True,True,True,q9686-s009-delete-r5,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,9,True,False,True,True,no,True
9883,det-counterfactual,arrowhead,3283,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = 1 = 0 or 1 or 1,0,0,,UNKNOWN,39,True,True,True,1639,1648,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1129,True,True,True,True,q9883-s001-delete-r2,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,1,True,False,True,True,no,True
9957,det-counterfactual,mediation,3297,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = 1 = 1 and 1,0,0,,UNKNOWN,30,True,True,True,953,961,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,516,True,True,True,True,q9957-s001-delete-r1,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,1,True,False,True,True,no,True
10009,det-counterfactual,chain,3306,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = [1] = 1,0,0,,UNKNOWN,15,True,True,True,762,770,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,532,True,True,True,True,q10009-s005-keep-r5,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,5,True,False,True,True,no,True
10242,det-counterfactual,frontdoor,3334,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = 0 = 1 and 0,0,0,,UNKNOWN,58,True,True,True,1525,1533,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,878,True,True,True,True,q10242-s005-keep-r4,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,5,True,False,True,True,no,True
11849,nie,mediation,1434,accepted,yes,yes,yes,yes,True,True,-2.7755575615628914e-17,2.7755575615628914e-16,0,0,NUMERIC_MISMATCH,0.07 * (0.23 - 0.57)+ 0.76 * (0.59 - 0.87)= 0.24,0.23634302400826218,0.23634302400826215,0.23634302400826246,UNKNOWN,67,True,True,True,2858,2866,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1535,True,True,True,True,q11849-s003-keep-r5,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,3,True,False,True,True,yes,True
13224,nie,arrowhead,1771,accepted,yes,yes,yes,yes,False,False,0.0009936656106244168,3.629444697850204e-05,7,0,NUMERIC_MISMATCH,0.48 * 0.26 * (0.85 - 0.76)+ 0.52 * 0.26 * (0.46 - 0.37)= -0.11,-0.10807032426351709,-0.10707665865289268,-0.10803402981653859,UNKNOWN,73,True,True,True,2482,2490,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1529,True,True,True,True,q13224-s003-keep-r3,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,3,True,False,True,True,yes,True
14516,nie,arrowhead,2063,accepted,yes,yes,yes,yes,False,False,-0.0010552956797531265,-0.0009802508986101327,6,0,NUMERIC_MISMATCH,0.57 * 0.47 * (0.20 - 0.34)+ 0.43 * 0.47 * (0.64 - 0.67)= 0.12,0.12006757008684299,0.11901227440708986,0.11908731918823286,UNKNOWN,65,True,True,True,1994,2002,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1565,True,True,True,True,q14516-s016-keep-r2,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,16,True,False,True,True,yes,True
14591,ate,frontdoor,2078,accepted,yes,yes,yes,yes,True,True,1.3877787807814457e-17,1.1102230246251565e-16,14,0,NUMERIC_MISMATCH,(0.58 - 0.28)* (0.62 * 0.58) + (0.42 - 0.72) * (0.77 * 0.42) = 0.10,0.09671357966311478,0.0967135796631148,0.09671357966311489,UNKNOWN,107,True,True,True,4074,4082,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,3194,True,True,True,True,q14591-s035-delete-r4,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,35,True,False,True,True,yes,True
17519,nie,arrowhead,5498,accepted,yes,yes,yes,yes,False,False,-0.005763241697062826,1.110823900880853e-05,0,0,NUMERIC_MISMATCH,0.01 * 0.64 * (0.72 - 0.44)+ 0.99 * 0.64 * (0.39 - 0.08)= 0.09,0.08827613231956077,0.08251289062249795,0.08828724055856958,UNKNOWN,68,True,True,True,2315,2323,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1231,True,True,True,True,q17519-s001-delete-r3,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,1,True,False,True,True,yes,True
18188,nde,mediation,5651,accepted,no,no,no,no,True,True,1.3877787807814457e-16,2.7755575615628914e-16,9,0,NUMERIC_MISMATCH,0.19 * (0.33 - 0.84) + 0.58 * (0.45 - 0.68) = 0.11,0.11316064952002647,0.11316064952002661,0.11316064952002675,UNKNOWN,111,True,True,True,4247,4255,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,2995,True,True,True,True,q18188-s012-delete-r2,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,12,True,False,True,True,no,True
19368,ate,frontdoor,5925,accepted,no,no,no,no,True,True,-1.942890293094024e-16,1.1102230246251565e-16,4,0,NUMERIC_MISMATCH,(0.28 - 0.78)* (0.34 * 0.63) + (0.72 - 0.22) * (0.33 * 0.37) = 0.21,0.21335845306962786,0.21335845306962767,0.21335845306962797,UNKNOWN,101,True,True,True,3286,3294,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,2689,True,True,True,True,q19368-s003-keep-r1,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,3,True,False,True,True,no,True
19407,ett,frontdoor,5936,failed_no_accepted_output,yes,yes,yes,yes,True,True,-2.7755575615628914e-17,1.1102230246251565e-16,,,NUMERIC_MISMATCH,0.41 * (0.29 - 0.66) + 0.49 * (0.71 - 0.34) = 0.12,0.11660801118502884,0.11660801118502881,0.11660801118502895,UNKNOWN,121,True,True,True,3915,3923,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,NONE,,,,,,,,,,NOT_APPLICABLE_NO_ACCEPTED_OUTPUT,,,,,,,,,,,,,
19969,det-counterfactual,diamondcut,3360,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = 1 = 1 or 0,0,0,,UNKNOWN,83,True,True,True,2405,2413,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1185,True,True,True,True,q19969-s001-delete-r1,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,1,True,False,True,True,no,True
19978,det-counterfactual,diamond,3362,accepted,yes,yes,yes,yes,True,True,0,0,0,0,PASS,Y = [1] = 0 or 1,1,1,,UNKNOWN,39,True,True,True,1268,1276,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,763,True,True,True,True,q19978-s001-keep-r3,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,1,True,False,True,True,yes,True
20177,det-counterfactual,IV,3398,accepted,yes,yes,yes,yes,True,True,0,0,0,0,PASS,Y = 1 = 1 or 0,1,1,,UNKNOWN,56,True,True,True,1803,1811,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,555,True,True,True,True,q20177-s001-delete-r2,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,1,True,False,True,True,yes,True
20214,det-counterfactual,mediation,3404,accepted,yes,yes,yes,yes,True,True,0,0,0,0,PASS,Y = 1 = 0 or 1,1,1,,UNKNOWN,67,True,True,True,2364,2372,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1448,True,True,True,True,q20214-s004-delete-r4,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,4,True,False,True,True,yes,True
20438,det-counterfactual,IV,3442,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = 0 = 1 and 0,0,0,,UNKNOWN,47,True,True,True,1456,1464,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,984,True,True,True,True,q20438-s002-keep-r2,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,2,True,False,True,True,no,True
20959,nie,frontdoor,2260,accepted,yes,yes,yes,yes,True,True,-2.0816681711721685e-17,-5.551115123125783e-17,0,0,NUMERIC_MISMATCH,0.05 - 0.50 * (0.51 * 0.20 + 0.53 * 0.80)= -0.06,-0.05837074660530739,-0.05837074660530741,-0.058370746605307444,UNKNOWN,51,True,True,True,2008,2016,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1094,True,True,True,True,q20959-s001-keep-r4,no,False,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,1,True,False,True,True,yes,True
23635,nie,frontdoor,2862,accepted,no,no,no,no,True,True,-4.85722573273506e-17,1.1102230246251565e-16,0,0,NUMERIC_MISMATCH,0.92 - 0.03 * (0.56 * 0.37 + 0.49 * 0.63)= 0.04,0.03748885753645004,0.03748885753644999,0.03748885753645015,UNKNOWN,55,True,True,True,1729,1737,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1195,True,True,True,True,q23635-s007-keep-r4,,,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,7,True,False,False,True,no,True
23999,nie,mediation,2951,accepted,yes,yes,yes,yes,True,True,1.1102230246251565e-16,1.6653345369377348e-16,8,0,NUMERIC_MISMATCH,0.06 * (0.10 - 0.45)+ 0.22 * (0.80 - 0.90)= 0.06,0.0553387764678005,0.05533877646780061,0.055338776467800666,UNKNOWN,67,True,True,True,2763,2771,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1500,True,True,True,True,q23999-s003-delete-r4,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,3,True,False,True,True,yes,True
24494,ett,frontdoor,3061,failed_no_accepted_output,yes,yes,yes,yes,True,True,-6.938893903907228e-17,1.249000902703301e-16,,,NUMERIC_MISMATCH,0.23 * (0.61 - 0.08) + 0.22 * (0.39 - 0.92) = 0.08,0.07684425018610312,0.07684425018610305,0.07684425018610325,UNKNOWN,86,True,True,True,2856,2865,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,NONE,,,,,,,,,,NOT_APPLICABLE_NO_ACCEPTED_OUTPUT,,,,,,,,,,,,,
24894,nde,mediation,3154,accepted,no,no,no,no,True,True,5.551115123125783e-17,-1.6653345369377348e-16,18,0,NUMERIC_MISMATCH,0.64 * (0.01 - 0.68) + 0.80 * (0.81 - 0.13) = -0.30,-0.3036519637833784,-0.30365196378337833,-0.30365196378337855,UNKNOWN,92,True,True,True,3624,3632,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,3164,True,True,True,True,q24894-s005-keep-r5,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,5,True,False,True,True,no,True
28145,ate,diamondcut,6745,accepted,yes,yes,yes,yes,True,True,0.0,0.0,10,0,AMBIGUOUS_ADJACENT_PRODUCTS,0.59 * (0.30 - 0.27) 0.41 * (0.40 - 0.60) = -0.06,-0.06178262994792222,-0.06178262994792222,-0.06178262994792222,UNKNOWN,87,True,True,True,3327,3335,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1797,True,True,True,True,q28145-s013-delete-r1,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,13,True,False,True,True,yes,True
29590,det-counterfactual,chain,3485,accepted,yes,yes,yes,yes,True,True,0,0,0,0,PASS,Y = [1] = not 0,1,1,,UNKNOWN,26,True,True,True,1473,1481,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,956,True,True,True,True,q29590-s001-delete-r5,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,1,True,False,True,True,yes,True
29612,det-counterfactual,confounding,3493,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = 0 = 1 and 0,0,0,,UNKNOWN,54,True,True,True,1740,1748,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1300,True,True,True,True,q29612-s013-keep-r4,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,13,True,False,True,True,no,True
29642,det-counterfactual,frontdoor,3500,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = 1 = 1 or 0,0,0,,UNKNOWN,79,True,True,True,2163,2171,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1191,True,True,True,True,q29642-s011-keep-r5,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,11,True,False,True,True,no,True
29705,det-counterfactual,diamondcut,3516,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = 0 = 0 or 0,0,0,,UNKNOWN,58,True,True,True,2397,2404,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1335,True,True,True,True,q29705-s014-delete-r5,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,14,True,False,True,True,no,True
29833,det-counterfactual,diamond,3548,failed_no_accepted_output,yes,yes,yes,yes,True,True,0,0,,,PASS,Y = [0] = 0 and 1,1,1,,UNKNOWN,65,True,True,True,2572,2580,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,NONE,,,,,,,,,,NOT_APPLICABLE_NO_ACCEPTED_OUTPUT,,,,,,,,,,,,,
29962,det-counterfactual,arrowhead,3580,accepted,yes,yes,yes,yes,True,True,0,0,0,0,PASS,Y = 1 = 1 or 0 or 1,1,1,,UNKNOWN,46,True,True,True,1881,1889,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,842,True,True,True,True,q29962-s001-delete-r2,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,1,True,False,True,True,yes,True
29980,det-counterfactual,diamond,3585,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = [0] = 0 and 0,0,0,,UNKNOWN,28,True,True,True,1143,1151,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,706,True,True,True,True,q29980-s003-delete-r2,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,3,True,False,True,True,no,True
29982,det-counterfactual,diamond,3585,accepted,yes,yes,yes,yes,True,True,0,0,0,0,PASS,Y = [1] = 1 and 1,1,1,,UNKNOWN,19,True,True,True,1247,1255,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,825,True,True,True,True,q29982-s008-delete-r5,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,delete,8,True,False,True,True,yes,True
29990,det-counterfactual,diamondcut,3587,accepted,yes,yes,yes,yes,True,True,0,0,0,0,PASS,Y = 1 = 1 and 1,1,1,,UNKNOWN,56,True,True,True,1559,1567,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,1204,True,True,True,True,q29990-s002-keep-r2,yes,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,2,True,False,True,True,yes,True
30257,det-counterfactual,diamond,3654,failed_no_accepted_output,yes,yes,yes,yes,True,True,0,0,,,PASS,Y = [0] = 0 and 1,1,1,,UNKNOWN,61,True,True,True,2595,2603,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,NONE,,,,,,,,,,NOT_APPLICABLE_NO_ACCEPTED_OUTPUT,,,,,,,,,,,,,
30344,det-counterfactual,mediation,3676,accepted,no,no,no,no,True,True,0,0,0,0,PASS,Y = 0 = 0 or 0,0,0,,UNKNOWN,41,True,True,True,1176,1184,True,UNKNOWN_NOT_COVERED_BY_DETERMINISTIC_COMPONENT_AUDIT,PRESENT,550,True,True,True,True,q30344-s004-keep-r4,no,True,"Diagnostic only: reasoning may quote both allowed JSON alternatives. Score the separate raw final_content, not the last quoted template.",CHECKED,True,True,completed,completed,,keep,4,True,False,True,True,no,True
